story_number,episode_title,type,first_aired,uk_viewers,rating_AI,duration,season,ep_num,rating_imdb,rating_n,desc,writer,director,doctor_who_actor,,Showrunner
198b,Journey's End,episode,7/5/2008,10.57,91,63,4,13,9.2,7817,"In the wake of Davros' threat to destroy the existence of the Universe itself, the Doctor's companions unite to stop the Dalek empire. Which one will die by the prophecies and what will the fate be for the Doctor?",Russell T Davies,Graeme Harper,David Tennant,,Russell T Davies
199,The Next Doctor,special,12/25/2008,13.1,86,60,4,1,7.4,5956,The Doctor arrives in London on Christmas Eve in 1851 where he encounters the Cybermen and a man who claims he's a Time Lord called the Doctor.,Russell T Davies,Andy Goddard,David Tennant,,Russell T Davies
200,Planet of the Dead,special,4/11/2009,9.75,88,60,4,2,7.4,5990,"A meeting in a London bus with jewel thief Lady Christina takes a turn for the worst for the Doctor when the bus takes a detour to a desert-like planet, where the deadly Swarm awaits.",Russell T Davies/Gareth Roberts,James Strong,David Tennant,,Russell T Davies
201,The Waters of Mars,special,11/15/2009,10.32,88,60,4,3,8.8,7702,In a Mars base the inhabitants are being infected by a mysterious water creature which takes over its victims. The Doctor is thrust into the middle of this catastrophe knowing a larger one is waiting around the corner.,Russell T Davies/Phil Ford,Graeme Harper,David Tennant,,Russell T Davies
202a,The End of Time – Part One,special,12/25/2009,12.04,87,60,4,4,8.2,6800,The Ood have given a warning to The Doctor. The Master is returning yet that is not the biggest threat. A darkness is coming which brings with it The End of Time.,Russell T Davies,Euros Lyn,David Tennant,,Russell T Davies
202b,The End of Time – Part Two,special,1/1/2010,12.27,89,75,4,5,8.9,7700,The Doctor faces the end of his life as The Master rules over Earth. But a far greater threat is reaching through the darkness...,Russell T Davies,Euros Lyn,David Tennant,,Russell T Davies
203,The Eleventh Hour,episode,4/3/2010,10.09,86,65,5,1,8.8,7809,"With his TARDIS in ruins, the newly-regenerated Doctor with the help of Amy Pond must save the world in less than twenty minutes from galactic policemen known as the Atraxi.",Steven Moffat,Adam Smith,Matt Smith,,Steven Moffat
204,The Beast Below,episode,4/10/2010,8.42,86,45,5,2,7.6,6090,"The Doctor takes Amy to the future inside Starship UK, which contains in addition to British explorers, an intimidating race known as the Smilers.",Steven Moffat,Andrew Gunn,Matt Smith,,Steven Moffat
205,Victory of the Daleks,episode,4/17/2010,8.21,84,45,5,3,6.7,5921,"The TARDIS takes The Doctor and Amy to war-torn Britain in the middle of World War Two. Not only do they meet Winston Churchill himself, but the Doctor comes face to face once again with his greatest enemy of all.",Mark Gatiss,Andrew Gunn,Matt Smith,,Steven Moffat
206a,The Time of Angels,episode,4/24/2010,8.59,87,45,5,4,8.7,6607,"The Doctor and Amy emerge from the TARDIS to find the wreck of the Byzantium spaceship. Down below the Weeping Angels are stirring, but the Doctor has someone else to contend with; none other than the mysterious Professor River Song.",Steven Moffat,Adam Smith,Matt Smith,,Steven Moffat
206b,Flesh and Stone,episode,5/1/2010,8.5,86,45,5,5,8.6,6076,"The Doctor, Amy, Dr. Song and the remaining soldiers manage to escape from the crashed ship and into the forest. The Angels attempt to create a rift in time and space much as the Doctor had found in Amy's room when they first met. Amy meanwhile is counting down from 10 minutes and the Doctor has determined that an Angel has taken over her mind.",Steven Moffat,Adam Smith,Matt Smith,,Steven Moffat
207,The Vampires of Venice,episode,5/8/2010,7.68,86,50,5,6,7,5666,The Doctor and Amy cross swords in more ways than one with a horde of blood-sucking vampires in 16th century Venice.,Toby Whithouse,Jonny Campbell,Matt Smith,,Steven Moffat
